epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,8578.59,0.71255,0.54434,1.03766,0.96061,0.93136,0.95858,0.77068,0.84863,0.4603,1.08296,0.003565,0.003565,0.003565
67,8710.01,0.71022,0.54792,1.03772,0.96602,0.91624,0.96311,0.77577,0.83543,0.44727,1.07052,0.003466,0.003466,0.003466
68,8847.15,0.7108,0.538,1.0357,0.95186,0.93162,0.96244,0.77751,0.8424,0.45272,1.0829,0.003367,0.003367,0.003367
69,8979.46,0.70683,0.54911,1.03732,0.95496,0.93468,0.95872,0.7766,0.82889,0.44532,1.07647,0.003268,0.003268,0.003268
70,9118.67,0.69977,0.5334,1.03396,0.96624,0.92475,0.96032,0.76993,0.85352,0.46644,1.09467,0.003169,0.003169,0.003169
71,9251.67,0.68252,0.51719,1.02174,0.94731,0.93083,0.96094,0.77487,0.83013,0.45435,1.07602,0.00307,0.00307,0.00307
72,9385.06,0.68783,0.52482,1.02841,0.95619,0.91982,0.95652,0.77789,0.83374,0.4636,1.07645,0.002971,0.002971,0.002971
73,9521.22,0.67291,0.50408,1.01824,0.9554,0.93552,0.95079,0.77189,0.83157,0.45967,1.08072,0.002872,0.002872,0.002872
74,9653.17,0.6735,0.50656,1.01958,0.95859,0.92894,0.94915,0.76784,0.83726,0.45533,1.08316,0.002773,0.002773,0.002773
75,9788.76,0.68147,0.50974,1.02811,0.96398,0.92175,0.95405,0.76847,0.84243,0.45228,1.08508,0.002674,0.002674,0.002674
76,9919.77,0.66429,0.49731,1.01621,0.95879,0.92629,0.95747,0.76614,0.84319,0.47271,1.08782,0.002575,0.002575,0.002575
77,10051.5,0.65574,0.48505,1.0081,0.9567,0.9317,0.95331,0.76991,0.83662,0.47396,1.08547,0.002476,0.002476,0.002476
78,10186.3,0.65621,0.48477,1.009,0.94294,0.93571,0.95594,0.77382,0.82927,0.46555,1.08167,0.002377,0.002377,0.002377
79,10315.5,0.65788,0.49093,1.01595,0.94207,0.9227,0.954,0.76786,0.82937,0.47507,1.08958,0.002278,0.002278,0.002278
80,10449.2,0.64846,0.48186,1.0088,0.93513,0.92656,0.94943,0.76995,0.82107,0.47983,1.07848,0.002179,0.002179,0.002179
81,10580.5,0.6469,0.4812,1.00536,0.94705,0.92715,0.94819,0.77116,0.81905,0.46705,1.0808,0.00208,0.00208,0.00208
82,10710.7,0.63624,0.47274,1.00576,0.95103,0.92103,0.94958,0.77133,0.8259,0.47532,1.08562,0.001981,0.001981,0.001981
83,10842.8,0.63176,0.45729,0.99657,0.94817,0.92292,0.95154,0.76995,0.82948,0.46997,1.08696,0.001882,0.001882,0.001882
84,10971.2,0.62638,0.45996,0.99514,0.93217,0.93619,0.95396,0.77668,0.83614,0.47333,1.09337,0.001783,0.001783,0.001783
85,11101.6,0.62068,0.45306,0.99625,0.95551,0.92225,0.95273,0.77712,0.83144,0.45809,1.0894,0.001684,0.001684,0.001684
86,11228.4,0.61574,0.44737,0.99338,0.95445,0.92883,0.95263,0.76892,0.83163,0.45943,1.08744,0.001585,0.001585,0.001585
87,11360.2,0.60849,0.44947,0.98878,0.96088,0.92853,0.95106,0.77107,0.8307,0.45765,1.08695,0.001486,0.001486,0.001486
88,11487.4,0.60789,0.44595,0.99031,0.96415,0.92717,0.9524,0.77595,0.8257,0.4537,1.08504,0.001387,0.001387,0.001387
89,11614.2,0.60477,0.44239,0.98891,0.95858,0.92648,0.95304,0.77251,0.83091,0.46063,1.09162,0.001288,0.001288,0.001288
90,11744.3,0.60149,0.44183,0.98778,0.95773,0.92818,0.95369,0.7737,0.83415,0.4605,1.09758,0.001189,0.001189,0.001189
91,11870.3,0.47933,0.28157,0.91788,0.95538,0.92607,0.95058,0.77237,0.82825,0.46474,1.09191,0.00109,0.00109,0.00109
92,11999.7,0.46903,0.26416,0.91182,0.95978,0.92699,0.95407,0.7759,0.82815,0.4584,1.08978,0.000991,0.000991,0.000991
93,12121.5,0.455,0.26076,0.90319,0.95413,0.93478,0.95498,0.77819,0.83123,0.4504,1.09481,0.000892,0.000892,0.000892
94,12244,0.45248,0.26055,0.90319,0.94453,0.9315,0.95366,0.77402,0.82931,0.4548,1.0974,0.000793,0.000793,0.000793
95,12371.4,0.44375,0.25381,0.90434,0.95494,0.91294,0.9522,0.77516,0.82635,0.46129,1.09905,0.000694,0.000694,0.000694
96,12494.2,0.43699,0.25248,0.89496,0.9542,0.91872,0.95129,0.77887,0.82636,0.46055,1.10006,0.000595,0.000595,0.000595
97,12618.1,0.428,0.24311,0.89341,0.94183,0.93205,0.95072,0.77559,0.82926,0.45355,1.1026,0.000496,0.000496,0.000496
98,12742.5,0.42551,0.24234,0.89656,0.96272,0.9143,0.95236,0.77662,0.83133,0.45923,1.10439,0.000397,0.000397,0.000397
99,12867.5,0.4185,0.24063,0.88921,0.95856,0.91381,0.95359,0.77822,0.83183,0.46445,1.1059,0.000298,0.000298,0.000298
100,12990.9,0.41756,0.23398,0.89395,0.95785,0.91361,0.9534,0.77843,0.83147,0.46565,1.10757,0.000199,0.000199,0.000199
